Year,Handgun.Number,Handgun.Percent,Shotgun.Number,Shotgun.Percent,Rifle.Number,Rifle.Percent,Other.Number,Other.Percent,Combo.Number,Combo.Percent,Noreport.Number,NoreportPercent,Unknown.Number,Unknown.Percent
2003,660,9.28,91,14.68,50,9.9,--,--,26,12.15,147,9.22,--,--
2004,690,9.7,58,9.35,43,8.51,--,--,14,6.54,170,10.66,--,--
2005,646,9.08,61,9.84,48,9.5,--,--,21,9.81,307,19.26,--,--
2006,631,8.87,70,11.29,43,8.51,--,--,27,12.62,150,9.41,--,--
2007,617,8.67,60,9.68,42,8.32,--,--,13,6.07,313,19.64,--,--
2008,614,8.63,53,8.55,50,9.9,--,--,16,7.48,247,15.5,--,--
2009,651,9.15,60,9.68,57,11.29,--,--,--,--,32,2.01,406,10.2
2010,696,9.78,46,7.42,45,8.91,0,0,--,--,228,14.3,--,--
2011,632,8.88,49,7.9,46,9.11,--,--,25,11.68,0,0,--,--
2012,619,8.7,33,5.32,44,8.71,--,--,26,12.15,0,0,--,--
2013,658,9.25,39,6.29,37,7.33,0,0,28,13.08,0,0,469,11.78
TOTAL,7114,100,620,100,505,100,38,100,214,100,1594,100,3981,100
